date,gdp,inflation_rate,cpi
1994/1/1,4.46277E+14,1.19887165,98.00683482
1994/4/1,4.43823E+14,0.768693222,97.82387246
1994/7/1,4.48929E+14,1.15849E-14,97.85436619
1994/10/1,4.47125E+14,0.802232299,98.31177208
1995/1/1,4.52096E+14,0.209059233,98.11394213
1995/4/1,4.5635E+14,-0.034674064,97.82038313
1995/7/1,4.61698E+14,0.034782609,97.82038313
1995/10/1,4.62803E+14,-0.553633218,97.78776546
1996/1/1,4.66602E+14,-0.347705146,97.81998696
1996/4/1,4.72556E+14,0.138744364,97.78697313
1996/7/1,4.73153E+14,0.208623088,97.98505613
1996/10/1,4.7841E+14,0.556715379,98.01806996
1997/1/1,4.79668E+14,0.5931612,98.31519446
1997/4/1,4.76078E+14,1.974367856,99.76780311
1997/7/1,4.77004E+14,2.116585704,100.0979414
1997/10/1,4.77155E+14,2.110726644,100.0649276
1998/1/1,4.7138E+14,1.942421089,100.2960244
1998/4/1,4.69304E+14,0.339673913,100.1639691
1998/7/1,4.70144E+14,-0.203873598,99.86684461
1998/10/1,4.73904E+14,0.542189088,100.5931489
1999/1/1,4.67404E+14,-0.102075536,100.1639691
1999/4/1,4.69175E+14,-0.270819228,99.93287227
1999/7/1,4.71675E+14,0,99.86684461
1999/10/1,4.71841E+14,-1.011122346,99.56972011
2000/1/1,4.79861E+14,-0.613079019,99.60125667
2000/4/1,4.82127E+14,-0.712830957,99.40760549
2000/7/1,4.82244E+14,-0.646918624,99.24622951
2000/10/1,4.86945E+14,-0.783112019,99.11712872
2001/1/1,4.90544E+14,-0.411240576,99.08485352
2001/4/1,4.86881E+14,-0.717948718,98.63300077
2001/7/1,4.81569E+14,-0.719671008,98.4070744
2001/10/1,4.79918E+14,-0.926561428,98.05204723
2002/1/1,4.80733E+14,-1.376462491,97.72929527
2002/4/1,4.84626E+14,-0.860881543,97.76157046
2002/7/1,4.86152E+14,-0.79392475,97.63246968
2002/10/1,4.87503E+14,-0.554208521,97.53564409
2003/1/1,4.8781E+14,-0.244242847,97.4710937
2003/4/1,4.91151E+14,-0.243139979,97.53564409
2003/7/1,4.92604E+14,-0.243562978,97.4065433
2003/10/1,4.97984E+14,-0.313479624,97.21289212
2004/1/1,5.01631E+14,-0.139909059,97.37426811
2004/4/1,5.01692E+14,-0.313370474,97.24516732
2004/7/1,5.0477E+14,-0.104638995,97.24516732
2004/10/1,5.0383E+14,0.524109015,97.69702007
2005/1/1,5.06409E+14,0.03502627,97.18036052
2005/4/1,5.10318E+14,-0.10478519,96.89103758
2005/7/1,5.15509E+14,-0.31424581,96.56956765
2005/10/1,5.16438E+14,-0.764685436,96.73030261
2006/1/1,5.17238E+14,-0.140056022,97.05177255
2006/4/1,5.17999E+14,0.174825175,97.01962555
2006/7/1,5.16997E+14,0.630472855,97.14821353
2006/10/1,5.24001E+14,0.350262697,97.05177255
2007/1/1,5.27462E+14,-0.105189341,96.98747856
2007/4/1,5.27589E+14,-0.069808028,96.98747856
2007/7/1,5.2476E+14,-0.139227289,97.01962555
2007/10/1,5.27089E+14,0.488656195,97.56612444
2008/1/1,5.28982E+14,0.982800983,97.88759437
2008/4/1,5.25789E+14,1.327279078,98.30550528
2008/7/1,5.19289E+14,2.161031718,99.14132711
2008/10/1,5.0654E+14,1.042028482,98.59482822
2009/1/1,4.82199E+14,-0.104275287,97.69471241
2009/4/1,4.91521E+14,-0.930713547,97.2768015
2009/7/1,4.91329E+14,-2.251791198,96.98747856
2009/10/1,4.9749E+14,-2.028188381,96.60171464
2010/1/1,5.02726E+14,-0.86986778,96.79280502
2010/4/1,5.08663E+14,-0.800278358,96.62311217
2010/7/1,5.17915E+14,-1.012216405,96.28372646
2010/10/1,5.13728E+14,-0.280701754,96.45341931
2011/1/1,5.08328E+14,-0.526500527,96.24978788
2011/4/1,5.03865E+14,-0.385829533,96.24978788
2011/7/1,5.16136E+14,0.141043724,96.3516036
2011/10/1,5.15433E+14,-0.316678395,96.14797217
2012/1/1,5.2259E+14,0.317572336,96.5891736
2012/4/1,5.17794E+14,0.176056338,96.38554217
2012/7/1,5.15854E+14,-0.422535211,95.94434074
2012/10/1,5.15475E+14,-0.247087893,95.94434074
2013/1/1,5.22627E+14,-0.668308125,96.04615646
2013/4/1,5.27332E+14,-0.281195079,96.14797217
2013/7/1,5.32397E+14,0.884016973,96.79280502
2013/10/1,5.3172E+14,1.415428167,97.26794502
2014/1/1,5.36082E+14,1.52266289,97.47157645
2014/4/1,5.2641E+14,3.560098696,99.60970643
2014/7/1,5.2685E+14,3.364879075,100.0169693
2014/10/1,5.29274E+14,2.581995813,99.74546072
2015/1/1,5.37513E+14,2.3020579,99.77939929
2015/4/1,5.3825E+14,0.578624915,100.1527236
2015/7/1,5.38774E+14,0.1017294,100.1527236
2015/10/1,5.37862E+14,0.238095238,99.91515357
2016/1/1,5.41876E+14,0.034094783,99.81333786
2016/4/1,5.41024E+14,-0.372250423,99.84727643
2016/7/1,5.42102E+14,-0.474254743,99.71152214
2016/10/1,5.42916E+14,0.305395317,100.1527236
2017/1/1,5.47327E+14,0.340831629,100.0848464
2017/4/1,5.49221E+14,0.407608696,100.2884779
2017/7/1,5.53883E+14,0.612661675,100.356355
2017/10/1,5.54519E+14,0.575101488,100.7636179
2018/1/1,5.5505E+14,1.29076087,101.3745121
2018/4/1,5.56735E+14,0.676589986,100.9672493
2018/7/1,5.53944E+14,1.116373478,101.4763278
2018/10/1,5.53198E+14,0.874537504,101.6120821
2019/1/1,5.54377E+14,0.301810865,101.5781436
2019/4/1,5.56165E+14,0.739247312,101.7478364
2019/7/1,5.57454E+14,0.334560054,101.781775
2019/10/1,5.4216E+14,0.500166722,102.1890378
2020/1/1,5.44428E+14,0.668672685,102.2229764
2020/4/1,5.01179E+14,0.133422282,101.9175293
2020/7/1,5.29388E+14,0.033344448,101.8157136
2020/10/1,5.39351E+14,-0.928998009,101.3405736
2021/1/1,5.3846E+14,-0.531384922,101.7138978
2021/4/1,5.40331E+14,-0.73284477,101.1369421
2021/7/1,5.38396E+14,-0.166666667,101.5781436
2021/10/1,5.44377E+14,0.502344273,101.8496521
2022/1/1,5.41844E+14,0.868113523,102.5963007
